x1,y1
   0.87439,  34.18883
   0.22961,   5.08439
   0.11664,   2.68714
   0.27828,   6.36554
   0.60869,  19.01616
   0.23494,   5.21730
   0.00000,   1.05746
   0.28814,   6.64315
   0.47436,  13.04167
   0.84991,  32.60437
   0.15615,   3.43395
   0.23379,   5.18867
   0.66440,  21.82836
   0.92778,  37.77522
   0.90916,  36.50423
   0.89736,  35.70998
   0.30533,   7.14213
   0.06493,   1.85872
   0.35291,   8.62038
   0.70920,  24.23146
   0.12087,   2.76246
   0.67010,  22.12723
   0.83777,  31.83275
   0.61146,  19.15144
   0.79566,  29.22811
   0.88318,  34.76717
   0.03461,   1.45145
   0.73586,  25.72227
   0.89975,  35.86983
   0.01950,   1.27016
   0.11898,   2.72872
   0.38315,   9.63429
   0.23393,   5.19196
   0.31299,   7.37044
   0.76817,  27.58847
   0.34729,   8.43845
   0.83201,  31.46974
   0.84293,  32.15985
   0.34609,   8.39987
   0.47881,  13.22135
   0.37550,   9.37231
   0.25950,   5.85352
   0.87717,  34.37141
   0.94253,  38.79799
   0.85548,  32.96157
   0.16946,   3.70777
   0.88826,  35.10317
   0.95970,  40.00565
   0.49627,  13.93821
   0.28600,   6.58259
   0.05523,   1.72213
   0.29038,   6.70712
   0.60007,  18.59862
   0.84144,  32.06540
   0.95704,  39.81734
   0.81841,  30.62152
   0.12561,   2.84806
   0.77999,  28.28767
   0.20598,   4.51632
   0.62119,  19.63016
   0.27835,   6.36748
   0.97982,  41.44461
   0.17539,   3.83342
   0.11774,   2.70671
   0.44882,  12.03451
   0.52784,  15.28381
   0.82909,  31.28687
   0.69179,  23.28249
   0.99564,  42.59368
   0.62895,  20.01603
   0.21740,   4.78639
   0.50968,  14.50231
   0.18887,   4.12695
   0.89566,  35.59596
   0.86530,  33.59614
   0.36409,   8.98846
   0.60604,  18.88721
   0.76829,  27.59571
   0.83790,  31.84079
   0.05805,   1.76114
   0.44804,  12.00435
   1.00000,  42.91314
   0.67149,  22.20038
   0.86841,  33.79833
   0.42705,  11.20869
   0.97840,  41.34194
   0.64755,  20.95721
   0.64980,  21.07240
   0.41732,  10.84900
   0.47061,  12.89130
   0.01780,   1.25063
   0.42037,  10.96119
   0.81504,  30.41324
   0.32887,   7.85555
   0.17573,   3.84053
   0.37621,   9.39633
   0.28547,   6.56735
   0.32660,   7.78528
   0.06239,   1.82236
   0.04887,   1.63569
